CryptoPunkId,ETH,Price
1392,21.99,28990.30
5228,22,29003.48
8078,22.25,29333.06
8611,22.89,30176.80
5875,22.95,30255.90
3459,23,30321.82
5392,23.88,31481.96
668,23.99,31626.98
5123,23.99,31626.98
5807,24,31640.16
9103,24,31640.16
669,24,31640.16
7003,24,31640.16
2937,24.4,32167.50
2907,24.49,32286.15
8209,24.5,32299.33
3987,24.5,32299.33
2971,24.5,32299.33
3804,24.51,32312.51
6421,24.7,32563.00
8604,24.89,32813.48
1350,24.9,32826.67
9305,24.95,32892.58
8542,24.99,32941.36
5876,24.99,32945.32
3025,24.99,32945.32
9740,24.99,32945.32
7837,24.99,32945.32
8861,25,32958.50
4540,25,32958.50
3790,25,32958.50
9025,25,32958.50
5428,25,32958.50
2931,25,32958.50
8464,25,32958.50
2542,25,32958.50
6131,25,32958.50
3853,25.49,33604.49
4841,25.5,33617.67
3561,25.5,33617.67
2366,25.7,33881.34
8449,25.75,33947.25
4466,25.88,34112.05
4631,25.98,34250.47
7115,25.99,34263.66
5671,25.99,34263.66
3162,25.99,34263.66
9910,25.99,34263.66
5919,26,34276.84
5559,26,34276.84
682,26,34276.84
7096,26,34276.84
4202,26,34276.84
4416,26.1,34408.67
1521,26.49,34922.83
3771,26.49,34922.83
7073,26.49,34922.83
8944,26.5,34936.01
5755,26.5,34936.01
5441,26.5,34936.01
2135,26.5,34936.01
8095,26.6,35067.84
6573,26.65,35133.76
9106,26.88,35436.98
2653,26.88,35436.98
7443,26.9,35463.35
5635,26.95,35529.26
7684,26.95,35529.26
7304,26.98,35568.81
384,26.99,35582.00
9047,26.99,35582.00
2860,26.99,35582.00
7894,26.99,35582.00
3753,27,35595.18
4164,27,35595.18
7165,27,35595.18
3751,27,35595.18
2287,27,35595.18
3310,27,35595.18
3048,27,35595.18
8764,27,35595.18
5582,27,35595.18
2876,27,35595.18
5117,27,35595.18
1321,27,35595.18
1314,27,35595.18
2772,27,35595.18
5789,27,35595.18
2127,27,35595.18
3227,27.5,36254.35
2220,27.7,36518.02
9335,27.71,36531.20
9665,27.8,36649.85
2290,27.8,36649.85
4843,27.9,36781.69
7359,27.95,36847.60
4824,27.99,36900.34
1241,27.99,36900.34
8600,27.99,36900.34
8602,27.99,36900.34
3419,27.99,36900.34
9879,28,36913.52
7072,28,36913.52
7963,28,36913.52
5779,28,36913.52
7965,28,36913.52
9856,28,36913.52
6362,28,36913.52
6863,28,36913.52
9753,28,36913.52
8901,28,36913.52
2286,28,36913.52
7255,28,36913.52
8049,28,36913.52
7678,28.2,37177.19
2762,28.4,37440.86
8379,28.5,37572.69
3203,28.5,37572.69
5400,28.55,37638.61
7906,28.55,37638.61
2156,28.69,37823.17
4957,28.75,37902.27
7116,28.8,37968.19
5338,28.88,38073.66
2421,28.88,38073.66
5706,28.95,38165.94
586,28.98,38205.49
1212,28.99,38218.68
449,28.99,38218.68
8456,28.99,38218.68
6115,28.99,38218.68
7552,28.99,38218.68
8601,28.99,38218.68
4600,28.99,38218.68
5850,28.99,38218.68
2881,29,38231.86
3186,29,38231.86
2529,29,38231.86
7405,29,38231.86
1628,29,38231.86
8613,29,38231.86
