CryptoPunkId,ETH,Price
9673,22.5,31479.99954
8351,22.1,30920.00008
2594,19.84,27760.00023
3459,23,32180.00031
4237,55,76949.99695
6713,22,30780.00069
6028,21,29379.99916
7405,21.98,30750
3824,44,61560.00137
3160,40,55959.99908
5083,36,50360.00061
8445,60,83940.00244
4880,46,64349.99847
7342,45,62959.99908
6669,29,40569.99969
1967,40,55959.99908
4802,45,62959.99908
825,32,44770.00046
5990,32,44770.00046
6516,25.91,36250
7074,45,62959.99908
7186,27.5,38470.00122
5413,35,48970.00122
3569,27,37770.00046
1775,50,69949.99695
1548,24.62,34439.99863
8392,60,83940.00244
1839,65,90940.00244
5486,1.5,2099.999905
2880,29,40569.99969
7219,70,97930.00031
8511,34.99,48950.00076
4555,22.5,31479.99954
3470,31,43369.99893
5671,20,27979.99954
9546,20,27979.99954
5659,20,27979.99954
2302,27,37770.00046
1902,24.2,33860.00061
4601,22,30780.00069
4798,30,41970.00122
8833,28,39169.99817
7272,38,53159.99985
7562,39.99,55950.00076
6273,32,44770.00046
8220,32.5,45470.00122
6509,23.98,33549.99924
1102,29,40569.99969
4236,51.69,72309.99756
6183,45,62959.99908
8380,35,48970.00122
2592,35,48970.00122
538,23.99,33560.00137
8285,20.95,29309.99947
1804,23,32180.00031
7682,31.4,43930.00031
1991,29.99,41959.99908
8888,33.1,46310.00137
920,99.99,139889.9994
9310,34,47569.99969
1210,75,104930.0003
5309,23,32180.00031
3168,20.5,28680.00031
7998,23,32180.00031
9963,40,55959.99908
2421,21,29379.99916
3243,21.5,30079.99992
6278,27.5,38470.00122
1119,300,419700.0122
6431,28.99,40560.00137
4460,25,34979.99954
5569,49.8,69669.99817
2653,23.9,33439.99863
6110,23,32180.00031
5269,25,34979.99954
2126,20.5,28680.00031
7720,26,36369.99893
7720,26,36369.99893
3157,21.98,30750
9305,23,32180.00031
8163,25.59,35799.99924
991,37.99,53150.00153
4964,23,32180.00031
1240,32,44770.00046
8807,23,32180.00031
3202,24,33580.00183
4507,21,29379.99916
6883,21,29379.99916
6597,25.22,35279.99878
8993,22.5,31479.99954
9730,22.22,31090.00015
2276,45,62959.99908
3009,99,138500
4413,24,33580.00183
7680,27.9,39029.99878
7894,21.4,29940.00053
9046,33,46169.99817
3230,49,68550.00305
4393,50,69949.99695
3501,26.98,37750
3086,25.9,36229.99954
352,26.79,37479.99954
9275,26,36369.99893
5142,23.5,32880.00107
3008,32,44770.00046
1458,30,41970.00122
5011,29,40569.99969
4171,18,25180.00031
7675,22.9,32040.00092
4556,21.75,30430.00031
6313,24.97,34930.00031
7524,25,34979.99954
2853,28,39169.99817
5701,21.99,30760.00023
4941,30,41970.00122
285,29.99,41959.99908
9211,35,48970.00122
618,24.99,34959.99908
9075,22.5,31479.99954
8600,22,30780.00069
8611,18.5,25879.99916
8604,19,26579.99992
8602,21.5,30079.99992
8601,24,33580.00183
486,39,54560.00137
1243,31,43369.99893
8605,27.5,38470.00122
8620,80,111919.9982
2294,60,83940.00244
8613,25,34979.99954
8603,30,41970.00122
8606,42,58759.99832
8612,25,34979.99954
8617,80,111919.9982
6379,24.75,34630.00107
6880,28.9,40430.00031
3454,25,34979.99954
759,29.99,41959.99908
3030,30,41970.00122
6114,27,37770.00046
2719,23.25,32529.99878
7177,31,43369.99893
5013,34.99,48950.00076
6381,34,47569.99969
3599,22,30780.00069
3324,35,48970.00122
1408,25,34979.99954
6016,30,41970.00122
9594,42,58759.99832
4420,31.49,44049.99924
1398,28.99,40560.00137
5325,25,34979.99954
5807,22.5,31479.99954
5706,25,34979.99954
4248,24,33580.00183
3003,24.5,34279.99878
8424,23.75,33229.99954
5528,27,37770.00046
4558,24.3,34000
4600,24.6,34419.99817
5842,32,44770.00046
8479,34,47569.99969
4608,49.95,69879.99725
7023,36.33,50830.00183
7594,33.99,47549.99924
2975,27.2,38049.99924
8069,25.45,35599.99847
4105,27,37770.00046
9025,23,32180.00031
2423,49,68550.00305
773,29.99,41959.99908
5877,27,37770.00046
9467,52.5,73449.99695
1737,29,40569.99969
682,29.99,41959.99908
6131,24,33580.00183
3662,25,34979.99954
8001,39.5,55259.99832
534,59.69,83510.00214
4291,23.5,32880.00107
9938,26,36369.99893
7620,41,57360.00061
3571,35,48970.00122
488,27.25,38119.99893
8463,27,37770.00046
8087,25,34979.99954
9836,32.5,45470.00122
3323,24,33580.00183
4265,22.8,31899.99962
9589,25,34979.99954
9710,25,34979.99954
6125,25,34979.99954
952,27.99,39159.99985
9014,27,37770.00046
173,50,69949.99695
507,27.99,39159.99985
431,26.99,37759.99832
9301,24.49,34259.99832
7910,49,68550.00305
3985,27,37770.00046
2989,23.77,33250
1771,33,46169.99817
1625,25,34979.99954
4320,35,48970.00122
1794,27.5,38470.00122
1683,24.98,34950.00076
8516,30,41970.00122
7558,32,44770.00046
9749,98,137100.0061
3203,23.4,32740.00168
287,29.5,41270.00046
5831,25,34979.99954
2778,25,34979.99954
4957,28.75,40220.00122
8298,32,44770.00046
329,24.99,34959.99908
8282,42,58759.99832
5848,35,48970.00122
586,23.99,33560.00137
5087,23,32180.00031
8177,23,32180.00031
4064,22,30780.00069
8381,21.9,30639.99939
4085,22,30780.00069
9295,28.5,39869.99893
1614,22.9,32040.00092
7509,27.25,38119.99893
341,24.99,34959.99908
7076,59,82540.00092
9934,55,76949.99695
3275,24,33580.00183
7673,22,30780.00069
4219,21.8,30500
8573,22,30780.00069
8080,25,34979.99954
2340,20.5,28680.00031
381,23.99,33560.00137
7684,20,27979.99954
2013,48,67150.00153
3976,24.5,34279.99878
9012,50,69949.99695
4124,47,65750
5389,80,111919.9982
2253,85,118919.9982
8440,65,90940.00244
7056,33.3,46590.00015
4231,45,62959.99908
2140,400,559599.9756
7256,25,34979.99954
5631,35,48970.00122
411,24.99,34959.99908
7889,35,48970.00122
2221,21.25,29729.99954
6714,32,44770.00046
1739,30.05,42040.00092
2578,20.05,28049.99924
8571,29.99,41959.99908
4968,21.5,30079.99992
921,29.99,41959.99908
3989,22,30780.00069
3422,25.25,35330.00183
3804,22.9,32040.00092
9106,21.9,30639.99939
9847,23.99,33560.00137
7768,24.5,34279.99878
3050,22,30780.00069
2342,24.9,34840.00015
1462,50,69949.99695
8478,28,39169.99817
5586,35,48970.00122
340,50,69949.99695
5229,28,39169.99817
2210,24,33580.00183
4379,90,125910.0037
5123,21.9,30639.99939
6265,24,33580.00183
2634,26,36369.99893
2785,21.98,30750
3790,21.88,30610.00061
8124,27,37770.00046
2220,24.79,34680.00031
4823,30,41970.00122
4287,21,29379.99916
4182,21.5,30079.99992
8331,21.95,30709.99908
3188,27,37770.00046
7261,95,132910.0037
1825,22.5,31479.99954
9763,22.6,31620.00084
9971,24,33580.00183
4466,20,27979.99954
2549,81,113319.9997
9521,21.3,29799.99924
8363,24,33580.00183
3587,42,58759.99832
7988,21.69,30350.00038
2086,22,30780.00069
3956,21.5,30079.99992
9622,23.99,33560.00137
2855,21.4,29940.00053
2297,21.49,30059.99947
8665,23,32180.00031
6487,550,769460.022
3589,39.95,55889.99939
5411,26,36369.99893
2580,21,29379.99916
3530,21.4,29940.00053
4338,26,36369.99893
522,34.99,48950.00076
3891,33,46169.99817
335,40,55959.99908
605,50,69949.99695
1413,19.75,27629.99916
5233,25,34979.99954
6720,74,103529.9988
9537,36,50360.00061
686,45,62959.99908
6535,21.92,30670.00008
588,45,62959.99908
2724,19,26579.99992
2724,19,26579.99992
547,20.24,28319.99969
855,24.99,34959.99908
8405,49.99,69940.00244
7359,25,34979.99954
8906,45,62959.99908
8253,28.25,39520.00046
4436,24,33580.00183
9258,50,69949.99695
2864,22,30780.00069
3142,19.49,27270.00046
6036,34,47569.99969
3343,27,37770.00046
3018,21.9,30639.99939
4390,22,30780.00069
6658,24,33580.00183
1654,30,41970.00122
4347,45,62959.99908
563,35,48970.00122
9351,19.87,27799.99924
6779,42,58759.99832
9539,39.99,55950.00076
376,24.99,34959.99908
6832,19.5,27280.00069
1830,18.5,25879.99916
918,40,55959.99908
2108,20,27979.99954
3798,21,29379.99916
3680,20,27979.99954
9348,21.9,30639.99939
7852,23.2,32459.99908
4300,33,46169.99817
8526,20,27979.99954
7129,44.95,62889.99939
6806,20,27979.99954
6891,24,33580.00183
839,19.99,27969.99931
6839,33.33,46630.00107
3227,19.5,27280.00069
782,29.99,41959.99908
5550,60,83940.00244
1162,47,65750
6871,45.54,63709.99908
669,17.99,25170.00008
3362,24,33580.00183
6384,18,25180.00031
430,17.99,25170.00008
5660,18,25180.00031
3338,17.95,25110.00061
7634,22,30780.00069
9403,19,26579.99992
1212,17.78,24870.00084
1853,17.5,24479.99954
9705,17,23780.00069
2674,17,23780.00069
7323,16.8,23500
9767,16.5,23079.99992
4454,16.5,23079.99992
4515,26.9,37630.00107
4299,15,20989.99977
3783,15,20989.99977
9015,27.54,38529.99878
3596,14.9,20850.00038
7522,19,26579.99992
1316,14.66,20510.00023
3653,25,34979.99954
2394,47,65750
2713,29,40569.99969
8456,16.99,23770.00046
9506,30,41970.00122
4799,25,34979.99954
3092,20,27979.99954
4583,35,48970.00122
2529,16.7,23360.00061
6945,19,26579.99992
4226,34.99,48950.00076
6613,29.5,41270.00046
9233,15,20989.99977
6030,35,48970.00122
6712,20.2,28260.00023
589,16.99,23770.00046
446,24.99,34959.99908
5212,24.5,34279.99878
3213,14.6,20430.00031
898,22.22,31090.00015
874,17.49,24469.99931
8872,22.5,31479.99954
5644,25,34979.99954
2736,30,41970.00122
3944,30,41970.00122
4740,22.75,31829.99992
3224,15.25,21329.99992
8224,17.95,25110.00061
2024,20.24,28319.99969
9150,30,41970.00122
2726,27.26,38139.99939
2067,19,26579.99992
6294,21,29379.99916
3819,17.4,24340.00015
8821,23.95,33509.99832
5567,18,25180.00031
